Active, Outgoing, Sweet-Natured
Active, Proud, Very Smart
Active, Proud, Very Smart
Adaptable, Friendly, Gentle
Adaptable, Gentle, Smart
Adaptable, Playful, Smart
Affectionate, Active, Enthusiastic
Affectionate, Adaptable, Gentle
Affectionate, Adventurous, Athletic
Affectionate, Alert, Curious
Affectionate, Alert, Intelligent
Affectionate, Alert, Lively
Affectionate, Bright, Sensitive
Affectionate, Confident, Bold
Affectionate, Courageous, Spirited
Affectionate, Courageous, Strong-Willed
Affectionate, Dignified, Even-Tempered
Affectionate, Eager, Enthusiastic
Affectionate, Friendly, Independent
Affectionate, Gentle, Energetic
Affectionate, Gentle, Graceful
Affectionate, Gentle, Sociable
Affectionate, Happy, Plucky
Affectionate, Intelligent, Active
Affectionate, Intelligent, Enthusiastic
Affectionate, Intelligent, Kind
Affectionate, Intelligent, Majestic
Affectionate, Intelligent, Outgoing
Affectionate, Keen, Undemanding
Affectionate, Loyal, Brave
Affectionate, Loyal, Courageous
Affectionate, Loyal, Noble
Affectionate, Loyal, Playful
Affectionate, Loyal, Regal in Manner
Affectionate, Loyal, Regally Dignified
Affectionate, Loyal, Sensitive
Affectionate, Loyal, Smart
Affectionate, Outgoing, Positive
Affectionate, Playful, Calm
Affectionate, Playful, Outgoing
Affectionate, Smart, Alert
Affectionate, Smart, Energetic
Affectionate, Smart, Energetic
Affectionate, Sprightly, Tomboyish
Affectionate, Versatile, Intelligent
Agile, Intelligent, Self-Confident
Agile, Spirited, Intelligent
Agile, Versatile, Lively
Agile, Versatile, Regal
Alert, Active, Attentive
Alert, Cheerful, Busy
Alert, Curious, Pleasant
Alert, Eager, Intelligent
Alert, Faithful, Intelligent
Alert, Happy, Vivacious
Alert, Inquisitive, Lively
Alert, Intelligent, Bold
Alert, Intelligent, Brave
Alert, Outgoing, Sense Of Humor
Alert, Trainable, Comical
Bold, Dashing, Tenderhearted
Bright, Fun-Loving, Active
Bright, Fun-Loving, Upbeat
Bright, Watchful, Serious-Minded
Charming, Bright, Happy-Go-Lucky
Charming, Graceful, Sassy
Charming, Mischievous, Loving
Charming, Noble, Loving
Charming, Patient, Low-Key
Cheerful, Optimistic, Good-Humored
